시리얼,온도 평균(℃),습도 평균(%),총 결측 수,총 행 수,결측률 (%)
V02Q1940606,122,0,122,9095,0.6706981858163826
OC3CL200064,119,0,119,8881,0.6699695980182412
V02Q1940354,123,0,123,9185,0.6695699510070767
V02Q1940750,120,0,120,8973,0.6686726847208292
V02Q1940269,123,0,123,9207,0.6679700228087325
V02Q1940631,121,0,121,9065,0.6674020959735245
OC3CL200090,121,0,121,9073,0.6668136228369889
V02Q1940637,120,0,120,9041,0.6636434022785089
V02Q1940504,121,0,121,9118,0.6635227023470058
V02Q1940077,121,0,121,9129,0.6627231898345931
OC3CL200088,119,0,119,8979,0.6626573115046219
V02Q1940268,119,0,119,8982,0.6624359830772656
V02Q1940529,120,0,120,9078,0.6609385327164574
V02Q1940442,120,0,120,9084,0.6605019815059445
V02Q1940076,118,0,118,8940,0.6599552572706936
V02Q1940254,122,0,122,9249,0.659530760082171
V02Q1940528,117,0,117,8877,0.6590064210882054
V02Q1940415,120,0,120,9131,0.657102179388895
OC3CL200041,114,0,114,8681,0.6566063817532543
OC3CL200025,117,0,117,8912,0.6564183123877918
V02Q1940176,121,0,121,9221,0.6561110508621624
V02Q1940444,119,0,119,9087,0.6547815560691097
V02Q1940758,120,0,120,9192,0.6527415143603132
V02Q1940661,119,0,119,9117,0.652626960623012
V02Q1940595,119,0,119,9126,0.6519833442910367
V02Q1940574,118,0,118,9073,0.6502810536757412
V02Q1940356,119,0,119,9150,0.6502732240437159
V02Q1940280,119,0,119,9178,0.6482893876661582
V02Q1940722,119,0,119,9180,0.6481481481481481
V02Q1940441,118,0,118,9112,0.6474978050921861
V02Q1940308,117,0,117,9051,0.6463374212794166
V02Q1940403,118,0,118,9132,0.6460797196671046
V02Q1940571,117,0,117,9055,0.6460519050248481
V02Q1940392,118,0,118,9135,0.6458675424192666
OC3CL200067,114,0,114,8845,0.644431882419446
V02Q1940743,118,0,118,9158,0.6442454684428914
V02Q1940467,117,0,117,9089,0.6436351633843107
V02Q1940355,118,0,118,9172,0.6432621020497165
V02Q1940068,118,0,118,9181,0.6426315216207384
V02Q1940209,118,0,118,9190,0.6420021762785636
V02Q1940763,118,0,118,9193,0.6417926683346024
V02Q1940323,118,0,118,9202,0.6411649641382309
V02Q1940439,117,0,117,9128,0.6408851884312008
V02Q1940456,117,0,117,9129,0.6408149852119619
OC3CL200082,114,0,114,8896,0.6407374100719424
V02Q1940944,119,0,119,9291,0.6404046927133785
V02Q1940622,116,0,116,9064,0.6398940864960283
V02Q1940949,119,0,119,9308,0.6392350666093682
V02Q1940715,117,0,117,9155,0.638995084653195
V02Q1940423,116,0,116,9097,0.6375728262064417
V02Q1940461,116,0,116,9099,0.6374326849104297
V02Q1940592,115,0,115,9041,0.6359915938502378
V02Q1940822,118,0,118,9279,0.6358443797823041
V02Q1940951,118,0,118,9294,0.6348181622552184
V02Q1940459,115,0,115,9060,0.6346578366445916
OC3CL200091,113,0,113,8922,0.6332660838377046
V02Q1940341,116,0,116,9159,0.6332569057757398
OC3CL200018,114,0,114,9020,0.6319290465631929
OC3CL200081,113,0,113,8945,0.6316377864728898
OC3CL200127,111,0,111,8816,0.6295372050816697
V02Q1940522,114,0,114,9059,0.6292085219119109
V02Q1940507,114,0,114,9073,0.628237628127411
V02Q1940293,116,0,116,9249,0.6270948210617364
V02Q1940575,112,0,112,8984,0.6233303650934996
V02Q1940070,114,0,114,9162,0.6221349050425672
V02Q1940310,114,0,114,9184,0.6206445993031359
V02Q1940225,114,0,114,9194,0.6199695453556667
V02Q1940284,114,0,114,9208,0.6190269331016508
V02Q1940614,112,0,112,9047,0.6189897203492871
V02Q1940511,112,0,112,9055,0.6184428492545555
V02Q1940147,113,0,113,9153,0.6172839506172839
V02Q1940720,113,0,113,9167,0.6163412239554925
V02Q1940716,113,0,113,9197,0.6143307600304447
V02Q1940259,113,0,113,9209,0.6135302421544141
V02Q1940734,111,0,111,9088,0.6106954225352113
V02Q1940670,111,0,111,9091,0.6104938950610493
V02Q1940263,113,0,113,9264,0.6098877374784111
OC3CL200048,107,0,107,8801,0.6078854675605044
V02Q1940740,111,0,111,9182,0.6044434763668046
V02Q1940422,108,0,108,8940,0.6040268456375839
V02Q1940432,109,0,109,9086,0.5998239049086507
V02Q1940149,105,0,105,8788,0.5974055530268547
V02Q1940643,109,0,109,9123,0.5973912090321166
V02Q1940499,109,0,109,9124,0.5973257343270495
V02Q1940714,109,0,109,9124,0.5973257343270495
V02Q1940091,110,0,110,9215,0.5968529571351058
V02Q1940533,108,0,108,9056,0.5962897526501767
V02Q1940394,109,0,109,9145,0.5959540732640788
V02Q1940656,109,0,109,9150,0.5956284153005464
V02Q1940159,109,0,109,9168,0.5944589877835951
V02Q1940057,108,0,108,9113,0.5925600790080106
OC3CL200085,105,0,105,8874,0.5916159567275185
V02Q1940127,107,0,107,9093,0.5883646761244914
V02Q1940326,108,0,108,9186,0.5878510777269758
V02Q1940809,107,0,107,9116,0.5868802106186924
OC3CL200027,104,0,104,8861,0.5868412143098972
OC3CL200128,103,0,103,8779,0.5866271784941337
